"fullVisitorId";"codssfamille";"nPPview";"nATC";"nConv"
"7240561890237386120";"123211";7;2;0
"7240561890237386120";"162511";5;0;0
"1924054936669126100";"111112";12;3;2
"3751682749408060125";"121112";1;0;0
"7926108618558685613";"133111";2;1;0
"7926108618558685613";"121111";2;2;0
"1924054936669126100";"133311";1;0;0
"7926108618558685613";"151116";2;0;0
"8994729742035347686";"247211";1;0;0
"8994729742035347686";"213311";1;0;0
"4070221717608550090";"231111";87;7;0
"8994729742035347686";"124212";1;1;0
"4070221717608550090";"231221";7;0;0
"7926108618558685613";"166112";11;6;1
"8994729742035347686";"122112";1;0;0
"7240561890237386120";"125311";1;1;0
"3751682749408060125";"131311";2;1;0
"1924054936669126100";"214114";8;2;1
"8102156888441549403";"142112";3;1;1
"1924054936669126100";"151112";1;0;0
"1924054936669126100";"243115";1;0;0
"8102156888441549403";"151211";1;1;0
"7926108618558685613";"164112";2;0;0
"7240561890237386120";"141116";10;3;0
"8102156888441549403";"143112";1;1;1
"3751682749408060125";"124212";4;1;0
"3751682749408060125";"122211";9;6;0
"3751682749408060125";"151115";2;1;0
"8102156888441549403";"132211";1;0;0
"1924054936669126100";"121111";5;2;1
"3751682749408060125";"212115";2;3;0
"4070221717608550090";"233111";3;0;0
"4070221717608550090";"151511";3;0;0
"7926108618558685613";"131212";2;0;0
"8102156888441549403";"122113";3;1;0
"8994729742035347686";"231212";1;0;0
"8994729742035347686";"121113";2;0;0
"1924054936669126100";"131114";28;13;2
"1924054936669126100";"141116";2;0;0
"8994729742035347686";"122214";2;1;1
"1924054936669126100";"213114";6;5;3
"8994729742035347686";"151111";1;0;0
"8102156888441549403";"123311";7;2;1
"7240561890237386120";"143112";1;0;0
"7240561890237386120";"123311";2;0;0
"8994729742035347686";"164113";1;0;0
"3751682749408060125";"214111";1;1;0
"8102156888441549403";"111112";6;3;2
"3751682749408060125";"231518";1;0;0
"8102156888441549403";"161914";2;0;0
"7926108618558685613";"212111";2;0;0
"7240561890237386120";"211315";35;4;0
"7240561890237386120";"152213";6;1;0
"4070221717608550090";"231213";1;0;0
"7926108618558685613";"121116";1;0;0
"3751682749408060125";"243112";1;0;0
"1924054936669126100";"245411";4;1;0
"8102156888441549403";"151115";1;0;0
"3751682749408060125";"164312";5;2;0
"1924054936669126100";"233112";1;1;0
"7240561890237386120";"122112";1;0;0
"3751682749408060125";"124113";5;3;0
"8102156888441549403";"242114";2;1;0
"7240561890237386120";"152212";1;0;0
"8102156888441549403";"161211";3;1;0
"4070221717608550090";"111111";24;4;0
"3751682749408060125";"122112";11;8;0
"4070221717608550090";"233412";6;1;0
"8102156888441549403";"123211";2;1;1
"8994729742035347686";"164311";1;0;0
"8102156888441549403";"131112";2;2;2
"7926108618558685613";"152211";2;1;0
"8994729742035347686";"124112";2;1;0
"1924054936669126100";"131112";9;4;2
"3751682749408060125";"152111";1;1;0
"4070221717608550090";"231615";1;0;0
"1924054936669126100";"121115";12;8;1
"3751682749408060125";"213113";6;3;0
"7926108618558685613";"123111";1;0;0
"3751682749408060125";"212111";2;1;0
"8994729742035347686";"211117";2;1;0
"1924054936669126100";"111311";6;0;0
"8994729742035347686";"111215";1;0;0
"8102156888441549403";"151311";2;0;0
"7926108618558685613";"112111";13;1;0
"7240561890237386120";"151212";1;0;0
"7926108618558685613";"166815";1;0;0
"7240561890237386120";"112311";2;0;0
"1924054936669126100";"221115";4;0;0
"7240561890237386120";"124211";7;0;0
"7926108618558685613";"111215";3;0;0
"8102156888441549403";"161112";1;1;1
"4070221717608550090";"211111";11;1;0
"7240561890237386120";"143111";6;0;0
"8102156888441549403";"212211";1;0;0
"8102156888441549403";"141112";20;10;7
"7926108618558685613";"153311";6;1;0
"4070221717608550090";"131211";2;0;0
"8102156888441549403";"124114";1;0;0
"8994729742035347686";"141111";1;0;0
"1924054936669126100";"246212";2;1;1
"8994729742035347686";"124311";1;0;0
"7240561890237386120";"126111";2;0;0
"1924054936669126100";"131113";7;5;3
"7240561890237386120";"231411";18;1;0
"3751682749408060125";"243111";2;2;0
"1924054936669126100";"142114";12;7;2
"4070221717608550090";"151115";1;0;0
"8102156888441549403";"121115";7;1;0
"4070221717608550090";"151111";58;4;1
"4070221717608550090";"214113";1;0;0
"1924054936669126100";"212113";2;0;0
"1924054936669126100";"121112";3;1;1
"7926108618558685613";"161112";1;0;0
"3751682749408060125";"152113";1;1;0
"3751682749408060125";"231219";2;1;0
"7240561890237386120";"242112";5;0;0
"7926108618558685613";"166211";9;2;1
"3751682749408060125";"131111";3;3;0
"7240561890237386120";"124212";2;0;0
"7926108618558685613";"164211";2;0;0
"8994729742035347686";"122211";10;0;0
"7240561890237386120";"152113";4;0;0
"1924054936669126100";"126311";1;0;0
"3751682749408060125";"121111";1;0;0
"8102156888441549403";"142114";1;0;0
"7926108618558685613";"124211";3;0;0
"4070221717608550090";"233411";15;0;0
"8102156888441549403";"121112";5;3;1
"1924054936669126100";"111215";1;0;0
"4070221717608550090";"213211";6;0;0
"3751682749408060125";"123311";2;2;0
"8994729742035347686";"125311";4;3;1
"7240561890237386120";"133311";3;0;0
"7926108618558685613";"166811";6;0;0
"7240561890237386120";"231111";1;0;0
"1924054936669126100";"132311";7;1;0
"7926108618558685613";"124111";5;0;0
"3751682749408060125";"124114";1;0;0
"1924054936669126100";"111114";6;3;1
"3751682749408060125";"122214";6;6;0
"4070221717608550090";"131115";31;3;1
"1924054936669126100";"213111";26;10;2
"8102156888441549403";"113111";1;0;0
"3751682749408060125";"126111";2;1;0
"8102156888441549403";"111115";2;2;2
"8102156888441549403";"162511";1;0;0
"7926108618558685613";"151211";1;0;0
"1924054936669126100";"121114";6;1;1
"8102156888441549403";"123111";12;4;2
"3751682749408060125";"111211";3;3;0
"4070221717608550090";"131112";3;1;0
"1924054936669126100";"225116";2;0;0
"3751682749408060125";"163211";3;1;0
"3751682749408060125";"231513";4;2;0
"7926108618558685613";"153115";16;2;0
"8994729742035347686";"122114";1;0;0
"8102156888441549403";"211211";2;0;0
"7240561890237386120";"124114";2;0;0
"8994729742035347686";"121114";2;0;0
"4070221717608550090";"111114";31;2;0
"4070221717608550090";"153115";4;0;0
"4070221717608550090";"153311";6;1;0
"4070221717608550090";"121115";6;1;1
"4070221717608550090";"231219";8;0;0
"7240561890237386120";"142112";9;2;2
"7926108618558685613";"152314";2;0;0
"3751682749408060125";"131212";2;1;0
"4070221717608550090";"121113";31;6;1
"7240561890237386120";"152312";1;0;0
"8102156888441549403";"111111";7;5;3
"7926108618558685613";"151311";1;0;0
"3751682749408060125";"163112";1;1;0
"7926108618558685613";"132112";3;0;0
"4070221717608550090";"231215";8;0;0
"1924054936669126100";"131115";1;0;0
"1924054936669126100";"111111";16;5;1
"1924054936669126100";"166814";1;0;0
"3751682749408060125";"242211";1;0;0
"8994729742035347686";"111114";8;1;1
"1924054936669126100";"246211";1;0;0
"4070221717608550090";"243111";7;1;0
"7240561890237386120";"213111";1;0;0
"7926108618558685613";"163112";2;0;0
"4070221717608550090";"143112";1;0;0
"1924054936669126100";"225111";5;2;1
"8994729742035347686";"123111";7;2;3
"3751682749408060125";"125211";8;5;0
"7926108618558685613";"121112";4;1;0
"8994729742035347686";"123311";1;0;0
"4070221717608550090";"112411";4;0;0
"8102156888441549403";"122311";22;7;2
"4070221717608550090";"242114";1;0;0
"8994729742035347686";"151112";1;0;0
"8994729742035347686";"164513";4;1;0
"3751682749408060125";"124311";5;5;0
"7240561890237386120";"141112";3;0;0
"1924054936669126100";"141112";2;1;2
"8994729742035347686";"131212";1;0;0
"8994729742035347686";"121115";1;0;0
"1924054936669126100";"142111";27;5;0
"4070221717608550090";"231513";10;0;0
"4070221717608550090";"161914";14;3;0
"8102156888441549403";"111212";1;0;0
"7926108618558685613";"213211";14;1;0
"4070221717608550090";"151211";42;5;1
"1924054936669126100";"143111";15;6;3
"4070221717608550090";"143111";1;0;0
"1924054936669126100";"221116";5;1;1
"7240561890237386120";"125211";2;1;0
"3751682749408060125";"111111";8;2;0
"8102156888441549403";"112111";16;5;5
"4070221717608550090";"112111";14;3;0
"1924054936669126100";"125211";1;0;0
"7240561890237386120";"213112";5;0;0
"7926108618558685613";"153113";1;0;0
"3751682749408060125";"125311";1;1;0
"8102156888441549403";"141111";27;9;5
"7926108618558685613";"162511";3;0;0
"4070221717608550090";"131113";4;0;0
"7926108618558685613";"152113";3;0;0
"7240561890237386120";"247111";2;0;0
"8102156888441549403";"111311";9;1;0
"4070221717608550090";"231212";1;0;0
"8994729742035347686";"151211";2;0;0
"8102156888441549403";"111114";1;1;0
"4070221717608550090";"231214";5;0;0
"8994729742035347686";"231111";1;0;0
"4070221717608550090";"231711";1;0;0
"8102156888441549403";"111214";1;0;0
"8994729742035347686";"111211";3;2;2
"7240561890237386120";"247211";1;0;0
"4070221717608550090";"111113";2;0;0
"3751682749408060125";"214112";1;0;0
"1924054936669126100";"121113";50;10;3
"8102156888441549403";"111213";8;1;0
"7240561890237386120";"231413";7;1;0
"8102156888441549403";"122212";4;1;0
"7240561890237386120";"231518";1;0;0
"8102156888441549403";"124112";2;0;0
"8994729742035347686";"111115";2;0;0
"4070221717608550090";"213213";1;0;0
"7240561890237386120";"141111";26;7;3
"3751682749408060125";"111112";1;1;0
"8994729742035347686";"122213";1;1;0
"7926108618558685613";"243113";3;0;0
"7926108618558685613";"164513";20;3;0
"8994729742035347686";"163513";1;0;0
"8102156888441549403";"121113";6;2;1
"1924054936669126100";"213515";2;0;0
"8102156888441549403";"121116";1;0;0
"7240561890237386120";"221111";1;0;0
"7926108618558685613";"126311";1;0;0
"1924054936669126100";"166515";1;0;0
"8102156888441549403";"211115";9;3;3
"4070221717608550090";"151112";6;2;0
"8994729742035347686";"124113";4;0;0
"3751682749408060125";"113111";4;0;0
"4070221717608550090";"211112";14;1;0
"8102156888441549403";"122211";5;5;1
"4070221717608550090";"141111";2;0;0
"7240561890237386120";"122212";9;0;0
"7240561890237386120";"242114";1;0;0
"7926108618558685613";"153511";8;2;0
"1924054936669126100";"113111";1;0;0
"7240561890237386120";"122211";12;4;0
"8994729742035347686";"121116";2;0;0
"7240561890237386120";"121111";1;0;0
"8994729742035347686";"122311";7;1;1
"8102156888441549403";"122214";6;3;0
"7240561890237386120";"112111";4;0;0
"4070221717608550090";"121111";4;1;0
"7926108618558685613";"163312";1;0;0
"4070221717608550090";"212113";4;2;0
"7240561890237386120";"125111";6;1;0
"7926108618558685613";"152114";4;0;0
"4070221717608550090";"247111";3;0;0
"3751682749408060125";"122113";4;3;0
"8102156888441549403";"122112";6;4;2
"4070221717608550090";"231218";2;0;0
"8994729742035347686";"126311";1;0;0
"8102156888441549403";"151112";1;0;0
"4070221717608550090";"111311";156;18;1
"7240561890237386120";"111111";1;0;0
"4070221717608550090";"211114";7;0;0
"3751682749408060125";"212211";2;1;0
"8102156888441549403";"142111";5;1;0
"4070221717608550090";"213411";6;1;0
"1924054936669126100";"141115";4;2;1
"8994729742035347686";"123211";4;3;1
"7240561890237386120";"233211";1;0;0
"8994729742035347686";"111111";1;0;0
"3751682749408060125";"164513";2;2;0
"3751682749408060125";"151212";2;1;0
"1924054936669126100";"222114";6;2;1
"7240561890237386120";"132112";1;0;0
"7240561890237386120";"124112";4;1;0
"4070221717608550090";"231313";3;0;0
"1924054936669126100";"164513";1;0;0
"3751682749408060125";"123211";4;3;0
"7240561890237386120";"211117";9;1;0
"7926108618558685613";"225113";1;0;0
"4070221717608550090";"247211";2;1;0
"7926108618558685613";"125111";1;0;0
"3751682749408060125";"122312";2;1;0
"4070221717608550090";"151311";17;1;0
"4070221717608550090";"111211";20;3;0
"3751682749408060125";"122114";2;2;0
"4070221717608550090";"211113";5;0;0
"3751682749408060125";"163113";1;0;0
"3751682749408060125";"111215";10;6;0
"7240561890237386120";"152111";1;0;0
"7926108618558685613";"111112";3;1;0
"7240561890237386120";"211113";1;0;0
"4070221717608550090";"231220";6;0;0
"1924054936669126100";"141111";11;5;1
"7926108618558685613";"122113";1;0;0
"3751682749408060125";"166814";1;1;0
"1924054936669126100";"211117";11;1;0
"7240561890237386120";"233111";4;1;0
"8102156888441549403";"132111";5;2;1
"3751682749408060125";"233412";1;1;0
"8102156888441549403";"121111";5;3;3
"7240561890237386120";"151311";2;0;0
"4070221717608550090";"112211";5;0;0
"8994729742035347686";"162511";6;2;1
"7240561890237386120";"221212";3;1;0
"8994729742035347686";"162312";3;1;0
"8994729742035347686";"166311";5;1;0
"1924054936669126100";"142115";9;2;1
"3751682749408060125";"124112";7;8;0
"3751682749408060125";"111311";3;0;0
"3751682749408060125";"163312";4;4;0
"1924054936669126100";"221212";2;1;1
"4070221717608550090";"142114";4;0;0
"3751682749408060125";"163513";3;2;0
"8102156888441549403";"127111";8;2;2
"7926108618558685613";"131112";24;21;3
"4070221717608550090";"151212";15;3;0
"4070221717608550090";"131212";4;0;0
"7926108618558685613";"131113";1;0;0
"4070221717608550090";"211115";20;4;2
"8994729742035347686";"112211";1;0;0
"1924054936669126100";"233211";1;0;0
"4070221717608550090";"141112";2;2;0
"7926108618558685613";"166212";9;7;2
"8994729742035347686";"166312";1;0;0
"4398607701540951584";"151113";1;0;0
"7419794324376862526";"111311";104;41;1
"6592000946457300044";"211115";11;2;0
"4398607701540951584";"132215";1;0;0
"733861263441234805";"111113";5;0;0
"733861263441234805";"111114";27;9;0
"4398607701540951584";"124311";3;0;0
"4398607701540951584";"131113";14;6;3
"6592000946457300044";"124114";4;0;0
"4398607701540951584";"151112";2;0;0
"7419794324376862526";"126311";1;0;0
"6592000946457300044";"132111";4;3;2
"7419794324376862526";"152111";10;3;0
"6592000946457300044";"142112";2;0;0
"7419794324376862526";"151311";1;1;0
"4398607701540951584";"112411";2;0;0
"4398607701540951584";"132111";2;0;0
"789312495325962468";"125111";2;1;0
"7419794324376862526";"111211";49;17;0
"4398607701540951584";"133311";6;3;0
"733861263441234805";"141111";8;0;0
"5188835508810971307";"131311";8;1;1
"4398607701540951584";"131211";7;2;1
"733861263441234805";"111112";8;3;0
"6592000946457300044";"151115";1;0;0
"7419794324376862526";"122312";1;0;0
"789312495325962468";"122212";4;2;0
"5188835508810971307";"166212";1;0;0
"4398607701540951584";"151111";3;0;0
"733861263441234805";"214112";1;0;0
"7419794324376862526";"121112";17;3;0
"733861263441234805";"124112";4;1;0
"789312495325962468";"121112";4;0;0
"4398607701540951584";"131115";1;0;0
"789312495325962468";"151212";1;0;0
"4398607701540951584";"164513";15;2;1
"733861263441234805";"214111";2;0;0
"5188835508810971307";"122112";1;0;0
"6592000946457300044";"166811";2;0;0
"5188835508810971307";"151111";2;1;0
"5188835508810971307";"132111";1;0;0
"4398607701540951584";"151211";2;0;0
"5188835508810971307";"152113";1;0;0
"6592000946457300044";"131115";19;2;1
"7419794324376862526";"111115";1;0;0
"7419794324376862526";"141111";1;1;0
"7419794324376862526";"121115";1;1;0
"733861263441234805";"122311";11;1;0
"7419794324376862526";"124211";1;0;0
"4398607701540951584";"142115";1;0;0
"5188835508810971307";"111112";2;0;0
"6592000946457300044";"131111";1;0;0
"6592000946457300044";"166516";1;0;0
"4398607701540951584";"164112";2;0;0
"7419794324376862526";"151511";2;1;0
"733861263441234805";"152111";2;0;0
"789312495325962468";"121116";2;0;0
"733861263441234805";"111213";36;0;0
"6592000946457300044";"211315";5;1;1
"6592000946457300044";"166114";19;4;1
"4398607701540951584";"143111";3;1;0
"733861263441234805";"126311";1;0;0
"7419794324376862526";"112111";6;5;0
"6592000946457300044";"125311";2;0;0
"4398607701540951584";"164211";3;1;0
"6592000946457300044";"131311";1;0;0
"6592000946457300044";"151111";1;0;0
"6592000946457300044";"143111";1;1;0
"5188835508810971307";"121112";2;1;1
"5188835508810971307";"166114";1;1;1
"5188835508810971307";"122211";5;1;1
"789312495325962468";"111115";4;3;0
"7419794324376862526";"122114";6;1;0
"4398607701540951584";"161911";1;0;0
"4398607701540951584";"153311";3;0;0
"7419794324376862526";"122311";22;10;0
"7419794324376862526";"141114";2;0;0
"7419794324376862526";"152312";1;0;0
"733861263441234805";"121111";1;0;0
"6592000946457300044";"142111";5;0;0
"6592000946457300044";"124211";4;0;0
"7419794324376862526";"131311";1;1;0
"733861263441234805";"123311";3;0;0
"6592000946457300044";"123211";31;2;1
"7419794324376862526";"152114";2;0;0
"4398607701540951584";"213112";2;0;0
"6592000946457300044";"213111";12;6;0
"733861263441234805";"111214";20;6;0
"4398607701540951584";"151212";2;0;0
"789312495325962468";"124112";6;2;0
"7419794324376862526";"111112";2;1;0
"5188835508810971307";"161114";7;1;1
"4398607701540951584";"112311";1;0;0
"789312495325962468";"122311";15;11;0
"5188835508810971307";"141115";3;0;0
"5188835508810971307";"142111";1;0;0
"6592000946457300044";"124311";1;0;0
"733861263441234805";"143112";3;1;0
"7419794324376862526";"111213";28;7;0
"5188835508810971307";"123311";2;1;1
"733861263441234805";"142115";1;0;0
"6592000946457300044";"111211";4;7;1
"5188835508810971307";"111211";11;4;3
"7419794324376862526";"123311";14;5;0
"5188835508810971307";"143112";1;1;0
"6592000946457300044";"131112";1;0;0
"733861263441234805";"111115";5;2;0
"733861263441234805";"211115";42;23;0
"5188835508810971307";"111113";1;0;0
"733861263441234805";"164211";1;0;0
"789312495325962468";"131211";2;2;0
"733861263441234805";"166814";7;0;0
"5188835508810971307";"151115";2;1;1
"5188835508810971307";"166814";20;2;1
"789312495325962468";"111211";2;0;0
"789312495325962468";"124211";1;0;0
"4398607701540951584";"111215";1;0;0
"5188835508810971307";"131114";1;1;1
"7419794324376862526";"151211";21;10;0
"733861263441234805";"151212";1;0;0
"5188835508810971307";"141111";3;1;0
"7419794324376862526";"121113";4;2;0
"789312495325962468";"213111";3;0;0
"4398607701540951584";"124112";1;0;0
"4398607701540951584";"111211";17;2;1
"7419794324376862526";"151112";4;2;1
"789312495325962468";"211315";1;0;0
"4398607701540951584";"213111";3;0;0
"5188835508810971307";"161914";2;1;0
"7419794324376862526";"211115";2;0;0
"789312495325962468";"131111";2;1;0
"4398607701540951584";"122111";1;0;0
"789312495325962468";"111213";3;1;0
"5188835508810971307";"126111";1;0;0
"789312495325962468";"124114";5;1;0
"733861263441234805";"143111";1;0;0
"733861263441234805";"151111";4;0;0
"5188835508810971307";"151112";3;1;1
"733861263441234805";"122214";1;0;0
"6592000946457300044";"111112";2;2;1
"5188835508810971307";"162511";1;1;0
"733861263441234805";"141112";5;0;0
"789312495325962468";"153311";2;1;0
"733861263441234805";"112111";1;0;0
"733861263441234805";"111111";12;0;0
"4398607701540951584";"162312";2;0;0
"789312495325962468";"122213";1;0;0
"7419794324376862526";"111114";3;0;0
"7419794324376862526";"113113";2;1;0
"789312495325962468";"141112";3;2;0
"7419794324376862526";"152112";21;1;0
"4398607701540951584";"161915";1;0;0
"733861263441234805";"211114";2;0;0
"4398607701540951584";"212114";1;0;0
"5188835508810971307";"151211";9;4;2
"789312495325962468";"124111";2;1;0
"733861263441234805";"122212";4;0;0
"5188835508810971307";"111215";5;1;1
"789312495325962468";"111114";5;3;0
"5188835508810971307";"123211";3;0;0
"733861263441234805";"111311";19;0;0
"789312495325962468";"131112";5;3;0
"733861263441234805";"122113";4;0;0
"5188835508810971307";"166211";7;2;2
"6592000946457300044";"142114";3;1;0
"6592000946457300044";"141111";1;0;0
"4398607701540951584";"212111";1;0;0
"6592000946457300044";"152113";3;1;1
"789312495325962468";"122112";3;3;0
"6592000946457300044";"166613";1;0;0
"6592000946457300044";"213112";2;0;0
"4398607701540951584";"111114";7;0;0
"4398607701540951584";"142111";5;0;0
"6592000946457300044";"124113";5;0;0
"789312495325962468";"121111";1;0;0
"4398607701540951584";"161114";2;0;0
"5188835508810971307";"111214";1;0;0
"733861263441234805";"124211";3;1;0
"7419794324376862526";"121116";1;1;0
"789312495325962468";"123211";1;1;0
"7419794324376862526";"131312";1;0;0
"6592000946457300044";"112111";8;6;1
"789312495325962468";"122111";1;1;0
"6592000946457300044";"131114";3;0;0
"5188835508810971307";"162312";1;0;0
"6592000946457300044";"166211";1;0;0
"6592000946457300044";"242111";1;0;0
"7419794324376862526";"126111";20;0;0
"789312495325962468";"111111";5;4;0
"789312495325962468";"131114";4;1;0
"6592000946457300044";"221111";2;0;0
"5188835508810971307";"133311";1;0;0
"7419794324376862526";"122113";5;0;0
"7419794324376862526";"161211";1;0;0
"5188835508810971307";"111114";15;5;3
"789312495325962468";"131311";1;0;0
"789312495325962468";"124311";5;5;0
"4398607701540951584";"141114";1;0;0
"6592000946457300044";"132214";1;0;0
"7419794324376862526";"122213";2;1;0
"6592000946457300044";"166814";1;0;0
"5188835508810971307";"161112";2;1;0
"5188835508810971307";"141112";2;1;0
"5188835508810971307";"161211";3;2;0
"789312495325962468";"213114";1;0;0
"733861263441234805";"124311";7;1;0
"5188835508810971307";"131112";1;0;0
"789312495325962468";"113111";2;1;0
"733861263441234805";"122211";17;3;0
"733861263441234805";"161811";1;0;0
"733861263441234805";"124114";1;0;0
"4398607701540951584";"131114";10;2;0
"7419794324376862526";"111214";31;6;0
"5188835508810971307";"121113";2;1;0
"789312495325962468";"122114";1;0;0
"7419794324376862526";"122212";1;0;0
"7419794324376862526";"111215";16;3;0
"733861263441234805";"161914";8;0;0
"789312495325962468";"111311";10;2;0
"7419794324376862526";"121111";9;4;0
"733861263441234805";"113111";1;0;0
"4398607701540951584";"163513";2;0;0
"4398607701540951584";"126111";1;0;0
"4398607701540951584";"131112";5;0;0
"6592000946457300044";"131113";12;2;0
"6592000946457300044";"111111";9;7;1
"6592000946457300044";"125211";20;0;0
"4398607701540951584";"161914";2;1;0
"789312495325962468";"131212";2;1;0
"733861263441234805";"213211";1;0;0
"4398607701540951584";"111311";4;0;0
"789312495325962468";"211115";11;3;0
"733861263441234805";"151211";7;0;0
"733861263441234805";"111215";74;11;0
"789312495325962468";"111215";1;1;0
"5188835508810971307";"132311";1;0;0
"789312495325962468";"151111";1;0;0
"5188835508810971307";"131211";1;0;0
"789312495325962468";"131113";1;0;0
"4398607701540951584";"124212";1;0;0
"7419794324376862526";"111111";21;10;1
"7419794324376862526";"246216";1;1;0
"789312495325962468";"127111";2;2;0
"789312495325962468";"122214";2;1;0
"4398607701540951584";"111213";18;0;0
"4398607701540951584";"141111";20;3;2
"789312495325962468";"151115";1;0;0
"4398607701540951584";"161211";3;0;0
"4398607701540951584";"151311";3;0;0
"6592000946457300044";"132311";16;1;0
"5188835508810971307";"122311";3;0;0
"5188835508810971307";"122212";1;0;0
"5188835508810971307";"211315";2;0;0
"5188835508810971307";"111111";9;2;2
"4398607701540951584";"211115";36;10;3
"733861263441234805";"211315";4;2;0
"6592000946457300044";"111215";6;4;1
"5188835508810971307";"211115";24;15;4
"733861263441234805";"122114";1;0;0
"733861263441234805";"161114";1;0;0
"789312495325962468";"141111";8;4;0
"5188835508810971307";"121116";1;0;0
"6592000946457300044";"124111";1;0;0
"7419794324376862526";"151111";6;1;0
"6592000946457300044";"121111";1;0;0
"789312495325962468";"124212";2;1;0
"733861263441234805";"161211";2;1;0
"4398607701540951584";"166814";17;2;1
"7419794324376862526";"122112";11;1;0
"5188835508810971307";"142112";2;0;0
"733861263441234805";"221111";1;0;0
"6592000946457300044";"122214";4;0;0
"4398607701540951584";"131311";1;0;0
"733861263441234805";"127111";1;0;0
"5188835508810971307";"111311";6;1;0
"7419794324376862526";"161914";2;0;0
"789312495325962468";"111112";3;2;0
"5188835508810971307";"132113";1;0;0
"789312495325962468";"131115";1;0;0
"5188835508810971307";"122113";3;1;0
"733861263441234805";"231513";4;0;0
"789312495325962468";"122211";13;5;0
"733861263441234805";"152212";1;0;0
"789312495325962468";"125311";4;2;0
"7419794324376862526";"141115";1;1;0
"4398607701540951584";"152212";2;0;0
"4398607701540951584";"161212";2;1;0
"733861263441234805";"231219";2;0;0
"789312495325962468";"123311";5;2;0
"5188835508810971307";"111213";4;1;0
"733861263441234805";"124111";2;1;0
"733861263441234805";"231611";2;0;0
"5188835508810971307";"121111";5;3;2
"6592000946457300044";"124112";7;2;0
"4398607701540951584";"212113";1;0;0
"7419794324376862526";"247111";2;0;0
"4398607701540951584";"111115";4;1;1
"6592000946457300044";"122312";1;0;0
"7419794324376862526";"151411";1;0;0
"733861263441234805";"122112";12;1;0
"7419794324376862526";"111212";1;0;0
"7419794324376862526";"122214";17;3;0
"6592000946457300044";"122211";4;0;0
"7419794324376862526";"112311";6;4;1
"789312495325962468";"132215";1;1;0
"733861263441234805";"164513";7;0;0
"789312495325962468";"123111";3;1;0
"4398607701540951584";"111212";5;0;0
"789312495325962468";"113112";2;2;0
"6592000946457300044";"111214";7;9;0
"7419794324376862526";"111113";10;5;0
"789312495325962468";"124113";2;1;0
"4398607701540951584";"111112";28;4;0
"733861263441234805";"124212";3;0;0
"733861263441234805";"123111";1;0;0
"733861263441234805";"122111";1;0;0
"6592000946457300044";"122111";1;0;0
"7419794324376862526";"122211";16;2;1
"733861263441234805";"151511";1;0;0
"5188835508810971307";"112111";4;1;1
"733861263441234805";"111211";24;1;0
"4398607701540951584";"112111";9;1;0
